ID_UNIQUE_ESP;X_CODE_PORTE_ESP;X_DIN_UTIL;X_ABR_T_ESP_DIN;X_ABR_CODE_CUS;N_TAUX_ACTIVITE_SAP;N_NB_PERSONNES
1427;CH G0 614;2.1.A;2-1;BURE;200;2;
1428;CH G0 615;2.1.A;2-1;BURE;;1;
1455;CH G1 491;2.1.A;2-1;BURE;100;1;
1456;CH G1 492;2.1.A;2-1;BURE;300;4;
1460;CH G1 521;3.5.F;3-5;LABO;100;2;
1461;CH G1 523;2.1.A;2-1;BURE;100;2;
1462;CH G1 525;2.2.A;2-2;BURE;130;2;
1463;CH G1 526;2.1.A;2-1;BURE;100;1;
1465;CH G1 551;2.1.A;2-1;BURE;170;2;
1466;CH G1 571;3.5.B;3-5;LABO;70;1;
1467;CH G1 578;3.5.B;3-5;LABO;70;1;
1470;CH G1 613;2.1.A;2-1;BURE;;1;
1471;CH G1 614;2.1.A;2-1;BURE;300;3;
1473;CH G1 621;3.2.B;3-2;LABO;300;4;
1475;CH G1 625;3.5.B;3-5;LABO;100;1;
1511;CH H0 545;2.1.A;2-1;BURE;100;1;
1550;CH H1 497;3.2.A;3-2;LABO;100;2;
1551;CH H1 498;3.2.A;3-2;LABO;100;2;
1553;CH H1 525;2.1.A;2-1;BURE;200;3;
1555;CH H1 555;2.1.A;2-1;BURE;200;2;
1556;CH H1 605;2.1.A;2-1;BURE;80;1;
1558;CH H1 625;2.1.A;2-1;BURE;100;2;
1580;CH H2 525;2.1.A;2-1;BURE;;2;
1582;CH H2 545;2.1.A;2-1;BURE;200;4;
1584;CH H2 555;2.2.A;2-2;BURE;100;3;
1585;CH H2 574;2.1.A;2-1;BURE;300;4;
1588;CH H2 595;2.1.A;2-1;BURE;100;2;
1589;CH H2 605;2.1.A;2-1;BURE;100;1;
1592;CH H2 634;2.1.A;2-1;BURE;2360;25;
1617;CH H3 595;2.1.A;2-1;BURE;200;2;
1618;CH H3 605;2.1.A;2-1;BURE;200;2;
1620;CH H3 625;2.1.A;2-1;BURE;200;2;
1636;CH H4 525;2.1.A;2-1;BURE;200;3;
1639;CH H4 545;2.1.A;2-1;BURE;100;1;
1641;CH H4 555;2.1.A;2-1;BURE;30;1;
1643;CH H4 584;2.1.A;2-1;BURE;330;5;
1644;CH H4 604;3.5.A;3-5;LABO;500;7;
1645;CH H4 595;2.1.A;2-1;BURE;200;4;
1646;CH H4 605;2.1.A;2-1;BURE;200;2;
1648;CH H4 624;3.5.A;3-5;LABO;200;2;
1649;CH H4 625;2.1.A;2-1;BURE;100;4;
1665;CH H5 525;2.1.A;2-1;BURE;;1;
1667;CH H5 545;2.1.A;2-1;BURE;160;5;
1669;CH H5 555;2.1.A;2-1;BURE;100;3;
1672;CH H5 584;2.1.A;2-1;BURE;45;1;
1674;CH H5 595;2.1.A;2-1;BURE;100;3;
1676;CH H5 605;2.1.A;2-1;BURE;100;2;
1707;CH J1 492;3.2.A;3-2;LABO;100;1;
1708;CH J1 493;3.2.A;3-2;LABO;700;8;
1709;CH J2 489;2.1.A;2-1;BURE;;2;
1711;CH J2 491;2.1.A;2-1;BURE;200;2;
1712;CH J2 492;2.1.A;2-1;BURE;200;3;
1713;CH J2 493;2.1.A;2-1;BURE;160;4;
1714;CH J2 494;2.1.A;2-1;BURE;100;2;
1715;CH J2 495;2.1.A;2-1;BURE;70;3;
1716;CH J2 496;2.1.A;2-1;BURE;100;2;
1717;CH J2 499;2.1.A;2-1;BURE;200;2;
1718;CH J2 500;2.1.A;2-1;BURE;;3;
1719;CH J2 501;2.1.A;2-1;BURE;300;4;
1720;CH J2 502;2.1.A;2-1;BURE;100;3;
1722;CH J2 503;2.1.A;2-1;BURE;;1;
1723;CH J2 504;2.1.A;2-1;BURE;100;2;
1724;CH J2 505;2.1.A;2-1;BURE;60;1;
1725;CH J2 506;2.1.A;2-1;BURE;100;2;
1728;CM 0 30;2.1.A;2-1;BURE;;1;
1734;CM 0 143;2.1.A;2-1;BURE;;1;
1736;CM 0 142;2.1.A;2-1;BURE;;1;
1738;CM 0 167;4.1.0;4-1;ARCH;;1;
1741;CM 0 216;4.5.0;4-5;BURE;;1;
1745;CM 0 251;2.1.A;2-1;BURE;;2;
1751;CM 0 351;6.1.A;6-1;LSOC;100;6;
1832;CM 1 117;2.1.A;2-1;BURE;100;2;
1833;CM 1 118;2.1.A;2-1;BURE;0;1;
1834;CM 1 119;2.1.A;2-1;BURE;200;2;
1843;CM 1 258;5.9.A;5-9;LSOC;;2;
1844;CM 1 261;2.1.A;2-1;BURE;200;2;
1845;CM 1 262;2.1.A;2-1;BURE;100;2;
1846;CM 1 263;2.1.A;2-1;BURE;150;2;
1847;CM 1 264;2.1.A;2-1;BURE;140;2;
1851;CM 1 360;4.5.0;4-5;BURE;;5;
1852;CM 1 364;2.2.B;2-2;BURE;;1;
1856;CM 1 516;2.1.A;2-1;BURE;;2;
1858;CM 1 518;2.1.B;2-1;BURE;;2;
1859;CM 1 520;2.1.A;2-1;BURE;190;2;
1860;CM 1 521;2.1.A;2-1;BURE;200;2;
1861;CM 1 542;2.1.A;2-1;BURE;;2;
1862;CM 1 543;2.1.A;2-1;BURE;150;3;
1867;CM 1 617;2.1.A;2-1;BURE;100;1;
1868;CM 1 618;2.1.A;2-1;BURE;100;1;
1869;CM 1 620;2.1.A;2-1;BURE;;4;
1870;CM 1 621;2.1.A;2-1;BURE;0;2;
1871;CM 1 642;2.1.A;2-1;BURE;;3;
1872;CM 1 643;2.1.A;2-1;BURE;120;4;
1897;CM 1 116;2.1.A;2-1;BURE;300;4;
1933;CM 2 245;2.2.A;2-2;BURE;135;6;
1934;CM 2 247;2.1.A;2-1;BURE;100;2;
1935;CM 2 248;2.1.A;2-1;BURE;140;2;
1936;CM 2 249;2.1.A;2-1;BURE;90;2;
1937;CM 2 261;2.1.A;2-1;BURE;100;2;
1938;CM 2 262;2.1.A;2-1;BURE;180;2;
1939;CM 2 263;2.1.A;2-1;BURE;220;3;
1940;CM 2 267;2.1.A;2-1;BURE;110;5;
1942;CM 2 270;2.1.A;2-1;BURE;120;2;
1943;CM 2 271;2.1.A;2-1;BURE;200;2;
1944;CM 2 272;2.1.A;2-1;BURE;50;2;
1945;CM 2 273;2.1.A;2-1;BURE;80;2;
1946;CM 2 274;2.1.A;2-1;BURE;70;2;
1947;CM 2 275;2.1.A;2-1;BURE;;3;
1948;CM 2 276;2.1.A;2-1;BURE;100;2;
1949;CM 2 277;2.1.A;2-1;BURE;100;3;
1952;CM 2 321;2.1.A;2-1;BURE;;1;
1964;CM 2 349;2.1.A;2-1;BURE;150;2;
1965;CM 2 358;2.1.A;2-1;BURE;200;4;
1966;CM 2 359;2.1.A;2-1;BURE;190;2;
1967;CM 2 360;2.1.A;2-1;BURE;100;1;
1968;CM 2 362;2.2.A;2-2;BURE;650;10;
1972;CM 2 425;1.5.B;1-5;LSOC;;2;
1991;CM 2 200;2.1.A;2-1;BURE;50;2;
1993;CM 2 202;2.1.A;2-1;BURE;70;1;
2120;CO 116;2.2.A;2-2;BURE;;1;
2130;CO 162;3.8.A;3-8;LABO;;1;
2135;CO 172;2.5.B;2-5;BURE;200;2;
2187;CO 260;2.1.A;2-1;BURE;100;2;
2188;CO 270;3.5.H;3-5;LABO;;1;
2269;DIA 001;2.1.A;2-1;BURE;300;3;
2272;DIA 004;3.4.R;3-4;LABO;;1;
2293;ELA 011;4.1.H;4-1;ARCH;;1;
2335;ELB 010;2.1.A;2-1;BURE;200;2;
2336;ELB 011;2.1.A;2-1;BURE;300;4;
2337;ELB 012;5.3.H;5-3;SACO;50;1;
2339;ELB 016;2.1.A;2-1;BURE;225;3;
2340;ELB 017;2.1.A;2-1;BURE;100;1;
2345;ELB 030;2.1.A;2-1;BURE;60;1;
2346;ELB 032;2.1.A;2-1;BURE;360;9;
2347;ELB 033;2.1.A;2-1;BURE;100;2;
2348;ELB 034;2.1.A;2-1;BURE;300;3;
2350;ELB 036;2.1.A;2-1;BURE;100;3;
2351;ELB 037;2.1.A;2-1;BURE;100;1;
2352;ELB 038;2.1.A;2-1;BURE;60;2;
2353;ELB 039;2.1.A;2-1;BURE;200;3;
2354;ELB 040;2.1.A;2-1;BURE;100;2;
2355;ELB 041;2.1.A;2-1;BURE;100;2;
2372;ELB 110;2.1.A;2-1;BURE;70;3;
2373;ELB 112;2.1.A;2-1;BURE;105;2;
2374;ELB 113;2.1.A;2-1;BURE;50;5;
2375;ELB 114;2.2.A;2-2;BURE;10;7;
2376;ELB 116;2.2.A;2-2;BURE;400;4;
2377;ELB 118;2.2.A;2-2;BURE;700;8;
2385;ELB 132;2.1.A;2-1;BURE;100;1;
2386;ELB 133;2.1.A;2-1;BURE;180;6;
2387;ELB 134;2.1.A;2-1;BURE;115;5;
2388;ELB 135;2.1.A;2-1;BURE;100;3;
2389;ELB 136;2.1.A;2-1;BURE;100;6;
2390;ELB 137;2.1.A;2-1;BURE;;2;
2391;ELB 138;2.1.A;2-1;BURE;100;4;
2392;ELB 139;2.1.A;2-1;BURE;80;2;
2393;ELB 140;2.1.A;2-1;BURE;300;5;
2394;ELB 141;2.1.A;2-1;BURE;300;3;
2411;ELB 216;5.3.G;5-3;SACO;;2;
2413;ELB 230;2.1.A;2-1;BURE;300;3;
2414;ELB 233;2.1.A;2-1;BURE;200;2;
2416;ELB 235;2.1.A;2-1;BURE;180;3;
2417;ELB 236;2.1.A;2-1;BURE;100;2;
2418;ELB 237;2.1.A;2-1;BURE;500;5;
2419;ELB 239;2.1.A;2-1;BURE;200;2;
2420;ELB 240;2.1.A;2-1;BURE;300;3;
2421;ELB 241;2.1.A;2-1;BURE;400;4;
2437;ELB 322;5.4.A;5-4;BIBL;200;3;
2440;ELB 330;2.1.A;2-1;BURE;200;2;
2441;ELB 331;2.1.A;2-1;BURE;100;2;
2442;ELB 332;2.1.A;2-1;BURE;200;2;
2443;ELB 333;2.1.A;2-1;BURE;100;1;
2444;ELB 334;2.1.A;2-1;BURE;240;5;
2445;ELB 335;2.1.A;2-1;BURE;100;2;
2446;ELB 336;2.1.A;2-1;BURE;170;5;
2447;ELB 337;2.1.A;2-1;BURE;250;7;
2448;ELB 338;2.1.A;2-1;BURE;100;3;
2449;ELB 339;2.1.A;2-1;BURE;275;3;
2450;ELB 340;2.1.A;2-1;BURE;600;6;
2452;ELB 342;2.1.A;2-1;BURE;100;1;
2453;ELB 343;2.1.A;2-1;BURE;300;3;
2473;ELD 012;2.1.A;2-1;BURE;100;1;
2474;ELD 013;2.1.B;2-1;BURE;120;3;
2475;ELD 014;2.1.A;2-1;BURE;290;5;
2476;ELD 015;2.1.A;2-1;BURE;33;2;
2477;ELD 016;2.1.A;2-1;BURE;190;2;
2478;ELD 017;2.1.A;2-1;BURE;80;1;
2483;ELD 036;2.1.A;2-1;BURE;200;2;
2504;ELD 110;3.4.R;3-4;LABO;85;1;
2506;ELD 119;2.1.A;2-1;BURE;100;3;
2511;ELD 130;2.1.A;2-1;BURE;200;2;
2512;ELD 131;2.1.A;2-1;BURE;50;1;
2513;ELD 132;2.1.A;2-1;BURE;100;1;
2514;ELD 133;2.1.A;2-1;BURE;200;2;
2515;ELD 134;2.1.A;2-1;BURE;100;2;
2516;ELD 135;2.1.A;2-1;BURE;100;2;
2517;ELD 136;2.1.A;2-1;BURE;200;2;
2518;ELD 137;2.1.A;2-1;BURE;200;3;
2541;ELD 220;2.2.A;2-2;BURE;200;4;
